# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.3365154203618026,4.554907045757152,14.92900877088003,0,3.0,-0.08520361766582059,0.0,0.0,0.0012077400306789267
 0.1246722422030862,2.35904320081396,4.560913439603579,14.92900877088003,0.37401672660925867,3.0000000000000004,-0.08520361766582059,0.00015057165762316592,-2.2090308455067658,0.00879462762247072
 0.17603214227494376,2.381439237607118,4.566837232122079,14.81555316739915,0.5280964268248314,3.0000000000000004,-0.08629741400766366,0.0006022628534824604,-2.911348006532903,0.019193311662086782
 0.21525098163273013,2.4037041551534184,4.572678894360411,14.701373477616325,0.6457529448981905,3.0,-0.08740395590456469,0.0013550022603017694,-3.4921975839334967,0.03202285237502899
 0.24815463241190422,2.4258385778650045,4.578438897366331,14.586467427862702,0.7444638972357127,2.999999999999999,-0.08852330181516947,0.002408671011802769,-4.0082563597746175,0.046948836141288884
 0.27700373328410155,2.4478431301540193,4.584117712187595,14.470832835817937,0.8310111998523046,2.9999999999999982,-0.08965550624088109,0.003763102721475076,-4.483181268730029,0.06376113718861291
 0.30295968169324033,2.4697184364326046,4.58971580987196,14.354467614097963,0.908879045079721,2.999999999999998,-0.09080061939173709,0.005418083508850733,-4.929625186916062,0.0823135674666696
 0.32671358502417247,2.491465121112903,4.595233661467183,14.237369773950231,0.9801407550725174,3.000000000000002,-0.09195868719108471,0.007373352033278163,-5.355303248535161,0.1024976145407314
 0.3487165117461107,2.513083808607057,4.60067173802102,14.119537428998953,1.0461495352383319,2.9999999999999925,-0.09312975073854408,0.009628599535191344,-5.765329050400447,0.12422904997495113
 0.3692823162031984,2.534575123327209,4.606030510581228,14.000968799117652,1.107846948609595,2.9999999999999973,-0.09431384638186618,0.012183469884865968,-6.163295816661472,0.14744030662014837
 0.3886399112816167,2.5559396896855016,4.611310450195562,13.881662214350209,1.16591973384485,3.0000000000000058,-0.09551100538040488,0.015037559638656633,-6.551840567685975,0.17207578405535304
 0.4069624107626311,2.5771781320940774,4.616512027911781,13.761616118949094,1.2208872322878934,3.000000000000009,-0.09672125355672131,0.018190418102705993,-6.932964878735034,0.1980887813096561
 0.42438454481075905,2.5982910749650783,4.621635714777641,13.640829075480807,1.2731536344322771,2.999999999999997,-0.09794461113125283,0.02164154740411312,-7.308229451669763,0.22543939833432994
 0.4410136486548078,2.6192791427106474,4.626681981840898,13.519299769012857,1.3230409459644235,3.0000000000000036,-0.09918109255229442,0.025390402569554563,-7.678878296646344,0.2540930462086122
 0.45693690630454853,2.6401429597429273,4.631651300149309,13.397027011434355,1.3708107189136456,2.9999999999999964,-0.10043070601011043,0.02943639161134177,-8.045921319085522,0.2840193569003585
 0.47222630086184925,2.6608831504740604,4.6365441407506305,13.274009745809858,1.4166789025855475,2.9999999999999853,-0.1016934533605524,0.03377887562090216,-8.410191131311826,0.31519136488044847
 0.4869421013741144,2.6815003393161883,4.641360974692619,13.150247050851453,1.460826304122343,3.0,-0.10296932976133086,0.03841716886967143,-8.77238326563766,0.3475848793669277
 0.5011353829020403,2.7019951506814546,4.646102273023032,13.025738145491392,1.5034061487061208,3.000000000000008,-0.10425832335364406,0.043350538917376384,-9.133085340593976,0.38117799372109873
 0.5148498887141096,2.7223682089820014,4.650768506789623,12.90048239350569,1.5445496661423288,3.0,-0.10556041504971089,0.048578206727697325,-9.492798652363788,0.41595069572666954
 0.5281234331998161,2.7426201386299716,4.655360147040153,12.774479308299684,1.5843702995994482,2.9999999999999916,-0.10687557822667246,0.05409934679128584,-9.851954469183617,0.4518845535208068
 0.5409889768868922,2.762751564037507,4.6598776648223765,12.647728557673318,1.6229669306606762,2.9999999999999916,-0.1082037783224253,0.059913087256122634,-10.21092650087637,0.48896245922438386
 0.5534754626975933,2.7827631096167496,4.664321531184049,12.520229968806014,1.6604263880927796,3.000000000000009,-0.10954497253657276,0.06601851006519342,-10.570040602882539,0.5271684172461225
 0.5656084752738777,2.8026553997798436,4.668692217172929,12.391983533239403,1.6968254258216329,3.0,-0.11089910967203954,0.07241465110146057,-10.929582403852704,0.5664873676425768
 0.5774107671175072,2.8224290589389303,4.672990193836772,12.262989411980135,1.732232301352521,2.9999999999999716,-0.11226612955209518,0.07910050034010768,-11.289803374610395,0.6069050373190654
 0.5889026830500831,2.8420847115061525,4.677215932223336,12.133247940703802,1.7667080491502485,2.9999999999999805,-0.11364596293227926,0.08607500200803524,-11.650925706551396,0.6484078135846475
 0.6001025060478913,2.8616229818936523,4.681369903380377,12.002759635029813,1.800307518143673,2.9999999999999902,-0.11503853092405714,0.0933370547505791,-12.013146262762858,0.6909826358329317
 0.6110267415690175,2.881044494513572,4.685452578355649,11.871525195905654,1.8330802247070517,3.00000000000001,-0.11644374479827177,0.10088551180542663,-12.376639807409534,0.7346169020544226
 0.6216903532506576,2.9003498737780555,4.689464428196913,11.73954551507591,1.865071059751972,3.0,-0.11786150566106701,0.10871918118370442,-12.741561665155967,0.7792983875852235
 0.6321069597826641,2.9195397440992443,4.693405923951922,11.606821680606684,1.8963208793479913,2.9999999999999893,-0.11929170380832624,0.11683682585820679,-13.108049914326784,0.8250151740280901
 0.6422890005074623,2.9386147298892813,4.697277536668436,11.47335498255632,1.926867001522386,3.000000000000011,-0.12073421878106308,0.1252371639587373,-13.476227221503276,0.8717555866910436
